date_time,date,time,transmitted,received,packet_loss,minimum,maximum,avg,stddev
2020-11-03 15:28:18,2020-11-03,15:28:18,60,60,0.0,16.036,26.335,158.741,21.848
2020-11-03 15:29:18,2020-11-03,15:29:18,60,60,0.0,16.092,28.005,168.058,31.479
2020-11-03 15:30:17,2020-11-03,15:30:17,60,60,0.0,15.889,30.702,226.508,34.886
2020-11-03 15:31:16,2020-11-03,15:31:16,60,60,0.0,16.376,24.804,158.151,18.541
2020-11-03 15:32:16,2020-11-03,15:32:16,60,60,0.0,15.842,27.919,181.550,28.816
2020-11-03 15:33:15,2020-11-03,15:33:15,60,60,0.0,16.276,32.166,237.924,35.881
2020-11-03 15:34:14,2020-11-03,15:34:14,60,59,1.7,15.942,29.470,402.788,49.821
2020-11-03 15:35:16,2020-11-03,15:35:16,60,60,0.0,15.699,30.251,272.673,37.218
2020-11-03 15:36:15,2020-11-03,15:36:15,60,60,0.0,15.968,26.389,172.453,29.549
2020-11-03 15:37:14,2020-11-03,15:37:14,60,60,0.0,15.944,28.944,213.538,30.824
2020-11-03 15:38:13,2020-11-03,15:38:13,60,60,0.0,17.239,27.226,194.508,24.348
2020-11-03 15:39:13,2020-11-03,15:39:13,60,60,0.0,16.134,30.445,246.833,35.826
2020-11-03 15:40:12,2020-11-03,15:40:12,60,60,0.0,15.719,32.448,234.483,37.392
2020-11-03 15:41:11,2020-11-03,15:41:11,60,60,0.0,15.949,25.549,139.634,17.006
2020-11-03 15:42:11,2020-11-03,15:42:11,60,60,0.0,15.845,28.737,159.140,28.298
2020-11-03 15:43:10,2020-11-03,15:43:10,60,60,0.0,16.673,34.715,254.080,47.266
2020-11-03 15:44:09,2020-11-03,15:44:09,60,60,0.0,16.033,25.224,149.197,18.580
2020-11-03 15:45:08,2020-11-03,15:45:08,60,60,0.0,15.648,26.057,111.468,18.672
2020-11-03 15:46:08,2020-11-03,15:46:08,60,60,0.0,16.611,29.123,290.659,36.325
2020-11-03 15:47:07,2020-11-03,15:47:07,60,60,0.0,16.118,30.351,249.493,42.392
2020-11-03 15:48:06,2020-11-03,15:48:06,60,60,0.0,16.425,25.587,152.433,25.989
2020-11-03 15:49:06,2020-11-03,15:49:06,60,60,0.0,16.236,31.635,387.424,50.587
2020-11-03 15:50:05,2020-11-03,15:50:05,60,60,0.0,16.442,34.615,281.051,42.557
2020-11-03 15:51:04,2020-11-03,15:51:04,60,60,0.0,16.496,29.235,109.030,15.135
2020-11-03 15:52:04,2020-11-03,15:52:04,60,60,0.0,16.900,51.700,253.511,46.142
2020-11-03 15:53:03,2020-11-03,15:53:03,60,60,0.0,16.641,36.341,299.926,47.087
2020-11-03 15:54:02,2020-11-03,15:54:02,60,60,0.0,16.316,33.189,310.358,40.088
2020-11-03 15:55:01,2020-11-03,15:55:01,60,60,0.0,16.245,30.120,209.760,31.363
2020-11-03 15:56:01,2020-11-03,15:56:01,60,60,0.0,16.636,36.739,350.799,56.496
2020-11-03 15:57:00,2020-11-03,15:57:00,60,60,0.0,16.176,30.810,160.524,29.202
2020-11-03 15:57:59,2020-11-03,15:57:59,60,60,0.0,15.886,29.530,151.992,27.444
2020-11-03 15:58:59,2020-11-03,15:58:59,60,60,0.0,16.879,27.597,155.937,24.215
2020-11-03 15:59:58,2020-11-03,15:59:58,60,60,0.0,16.057,33.882,181.617,29.719
2020-11-03 16:00:57,2020-11-03,16:00:57,60,59,1.7,16.585,34.831,258.476,36.608
2020-11-03 16:01:58,2020-11-03,16:01:58,60,60,0.0,16.538,31.680,143.079,21.041
2020-11-03 16:02:58,2020-11-03,16:02:58,60,60,0.0,15.891,34.500,153.512,31.454
2020-11-03 16:03:57,2020-11-03,16:03:57,60,60,0.0,16.315,40.684,219.739,40.175
2020-11-03 16:04:56,2020-11-03,16:04:56,60,60,0.0,16.763,36.136,345.702,50.204
2020-11-03 16:05:55,2020-11-03,16:05:55,60,60,0.0,16.249,44.852,402.302,59.705
2020-11-03 16:06:55,2020-11-03,16:06:55,60,60,0.0,16.438,36.350,331.308,48.036
2020-11-03 16:07:54,2020-11-03,16:07:54,60,60,0.0,16.517,37.987,349.701,47.977
2020-11-03 16:08:53,2020-11-03,16:08:53,60,60,0.0,16.830,30.216,197.013,27.163
2020-11-03 16:09:52,2020-11-03,16:09:52,60,60,0.0,16.706,38.779,260.829,51.652
2020-11-03 16:10:52,2020-11-03,16:10:52,60,60,0.0,17.035,30.831,150.417,24.545
2020-11-03 16:11:51,2020-11-03,16:11:51,60,60,0.0,16.263,32.061,168.657,29.861
